course_id,course_name,instructor_or_pi,question_id,topic,phase,question,option_A,option_B,option_C,option_D,answer,difficulty,discrimination,student_id,group,score
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q009,Blockchain Concepts,pre,What is the key role of blockchain concepts in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.42,0.82,S1008,A,67.07
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q009,Blockchain Concepts,post,What is the key role of blockchain concepts in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.37,0.58,S1008,A,80.16
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q010,Smart Contracts,pre,What is the key role of smart contracts in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.37,0.63,S1009,B,70.47
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q010,Smart Contracts,post,What is the key role of smart contracts in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.51,0.79,S1009,B,57.2
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q011,Data Visualization,pre,What is the key role of data visualization in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.39,0.85,S1010,C,70.67
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q011,Data Visualization,post,What is the key role of data visualization in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.26,0.94,S1010,C,75.82
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q012,Deep Learning,pre,What is the key role of deep learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.48,0.58,S1011,D,71.14
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q012,Deep Learning,post,What is the key role of deep learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.51,0.73,S1011,D,64.44
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q013,Text Mining,pre,What is the key role of text mining in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.71,0.84,S1012,A,78.48
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q013,Text Mining,post,What is the key role of text mining in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.77,0.86,S1012,A,95.8
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q014,Financial Modeling,pre,What is the key role of financial modeling in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.21,0.67,S1013,B,73.43
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q014,Financial Modeling,post,What is the key role of financial modeling in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.8,0.84,S1013,B,90.83
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q015,Data Governance,pre,What is the key role of data governance in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.85,0.77,S1014,C,53.58
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q015,Data Governance,post,What is the key role of data governance in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.31,0.83,S1014,C,64.09
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q016,Reinforcement Learning,pre,What is the key role of reinforcement learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.38,0.71,S1015,D,68.51
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q016,Reinforcement Learning,post,What is the key role of reinforcement learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.52,0.67,S1015,D,82.32
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q017,Data Structures,pre,What is the key role of data structures in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.62,0.53,S1016,A,47.31
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q017,Data Structures,post,What is the key role of data structures in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.3,0.71,S1016,A,77.93
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q018,Machine Learning,pre,What is the key role of machine learning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.31,0.59,S1017,B,75.38
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q018,Machine Learning,post,What is the key role of machine learning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.21,0.73,S1017,B,66.18
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q019,Regression Models,pre,What is the key role of regression models in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.71,0.72,S1018,C,66.73
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q019,Regression Models,post,What is the key role of regression models in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.85,0.92,S1018,C,86.4
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q020,Classification,pre,What is the key role of classification in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.88,0.67,S1019,D,76.97
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q020,Classification,post,What is the key role of classification in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.54,0.79,S1019,D,77.97
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q021,Neural Networks,pre,What is the key role of neural networks in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.61,0.68,S1020,A,83.47
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q021,Neural Networks,post,What is the key role of neural networks in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.23,0.91,S1020,A,73.9
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q022,Data Cleaning,pre,What is the key role of data cleaning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.47,0.75,S1021,B,71.1
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q022,Data Cleaning,post,What is the key role of data cleaning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.34,0.7,S1021,B,89.51
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q023,Feature Engineering,pre,What is the key role of feature engineering in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.38,0.91,S1022,C,67.43
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q023,Feature Engineering,post,What is the key role of feature engineering in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.71,0.73,S1022,C,69.72
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q024,AI Ethics,pre,What is the key role of ai ethics in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.54,0.81,S1023,D,36.02
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q024,AI Ethics,post,What is the key role of ai ethics in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.69,0.79,S1023,D,48.91
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q025,Blockchain Concepts,pre,What is the key role of blockchain concepts in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.85,0.83,S1024,A,61.88
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q025,Blockchain Concepts,post,What is the key role of blockchain concepts in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.37,0.52,S1024,A,64.99
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q026,Smart Contracts,pre,What is the key role of smart contracts in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.77,0.78,S1025,B,54.23
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q026,Smart Contracts,post,What is the key role of smart contracts in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.67,0.81,S1025,B,67.66
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q027,Data Visualization,pre,What is the key role of data visualization in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.65,0.62,S1026,C,72.16
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q027,Data Visualization,post,What is the key role of data visualization in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.52,0.81,S1026,C,79.16
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q028,Deep Learning,pre,What is the key role of deep learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.38,0.77,S1027,D,84.06
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q028,Deep Learning,post,What is the key role of deep learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.87,0.88,S1027,D,68.49
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q029,Text Mining,pre,What is the key role of text mining in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.21,0.85,S1028,A,55.53
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q029,Text Mining,post,What is the key role of text mining in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.65,0.91,S1028,A,69.3
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q030,Financial Modeling,pre,What is the key role of financial modeling in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.48,0.76,S1029,B,47.61
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q030,Financial Modeling,post,What is the key role of financial modeling in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.83,0.73,S1029,B,81.97
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q031,Data Governance,pre,What is the key role of data governance in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.33,0.69,S1030,C,61.1
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q031,Data Governance,post,What is the key role of data governance in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.78,0.61,S1030,C,93.21
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q032,Reinforcement Learning,pre,What is the key role of reinforcement learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.41,0.94,S1031,D,80.65
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q032,Reinforcement Learning,post,What is the key role of reinforcement learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.66,0.67,S1031,D,68.76
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q033,Data Structures,pre,What is the key role of data structures in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.42,0.69,S1032,A,80.02
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q033,Data Structures,post,What is the key role of data structures in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.81,0.83,S1032,A,58.55
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q034,Machine Learning,pre,What is the key role of machine learning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.26,0.79,S1033,B,41.66
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q034,Machine Learning,post,What is the key role of machine learning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.74,0.65,S1033,B,81.09
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q035,Regression Models,pre,What is the key role of regression models in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.3,0.84,S1034,C,48.9
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q035,Regression Models,post,What is the key role of regression models in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.85,0.68,S1034,C,78.67
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q036,Classification,pre,What is the key role of classification in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.42,0.94,S1035,D,76.78
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q036,Classification,post,What is the key role of classification in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.77,0.5,S1035,D,56.34
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q037,Neural Networks,pre,What is the key role of neural networks in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.25,0.81,S1036,A,56.03
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q037,Neural Networks,post,What is the key role of neural networks in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.57,0.79,S1036,A,76.64
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q038,Data Cleaning,pre,What is the key role of data cleaning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.71,0.58,S1037,B,74.03
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q038,Data Cleaning,post,What is the key role of data cleaning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.46,0.82,S1037,B,79.92
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q039,Feature Engineering,pre,What is the key role of feature engineering in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.34,0.58,S1038,C,71.68
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q039,Feature Engineering,post,What is the key role of feature engineering in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.86,0.7,S1038,C,72.22
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q040,AI Ethics,pre,What is the key role of ai ethics in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.77,0.58,S1039,D,43.96
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q040,AI Ethics,post,What is the key role of ai ethics in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.24,0.58,S1039,D,80.63
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q041,Blockchain Concepts,pre,What is the key role of blockchain concepts in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.73,0.62,S1040,A,67.58
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q041,Blockchain Concepts,post,What is the key role of blockchain concepts in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.83,0.68,S1040,A,65.65
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q042,Smart Contracts,pre,What is the key role of smart contracts in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.64,0.78,S1041,B,54.51
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q042,Smart Contracts,post,What is the key role of smart contracts in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.81,0.57,S1041,B,70.83
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q043,Data Visualization,pre,What is the key role of data visualization in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.41,0.67,S1042,C,50.06
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q043,Data Visualization,post,What is the key role of data visualization in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.39,0.65,S1042,C,76.67
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q044,Deep Learning,pre,What is the key role of deep learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.61,0.72,S1043,D,54.95
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q044,Deep Learning,post,What is the key role of deep learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.67,0.55,S1043,D,81.02
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q045,Text Mining,pre,What is the key role of text mining in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.24,0.84,S1044,A,68.5
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q045,Text Mining,post,What is the key role of text mining in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.21,0.76,S1044,A,72.45
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q046,Financial Modeling,pre,What is the key role of financial modeling in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.89,0.54,S1045,B,61.13
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q046,Financial Modeling,post,What is the key role of financial modeling in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.57,0.5,S1045,B,72.39
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q047,Data Governance,pre,What is the key role of data governance in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.62,0.94,S1046,C,70.68
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q047,Data Governance,post,What is the key role of data governance in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.73,0.92,S1046,C,54.47
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q048,Reinforcement Learning,pre,What is the key role of reinforcement learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.53,0.65,S1047,D,68.2
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q048,Reinforcement Learning,post,What is the key role of reinforcement learning in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.5,0.67,S1047,D,88.29
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q049,Data Structures,pre,What is the key role of data structures in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.82,0.95,S1048,A,50.81
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q049,Data Structures,post,What is the key role of data structures in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.77,0.92,S1048,A,99.51
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q050,Machine Learning,pre,What is the key role of machine learning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.67,0.67,S1049,B,65.8
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q050,Machine Learning,post,What is the key role of machine learning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.24,0.66,S1049,B,81.25
